# FractureId; NumTraces
0; 7
# TraceId; Tips; Lenght
0; false; 6.7471443493720984e-01
6; true; 6.0955246724863776e-01
5; true; 4.8118971767339047e-01
1; true; 4.2680143969791628e-01
4; true; 4.2160911792667888e-01
3; true; 3.9439852449745566e-01
2; true; 1.4605310396686302e-01
# FractureId; NumTraces
1; 29
# TraceId; Tips; Lenght
25; false; 9.0393217642189094e-01
28; false; 6.2866540477648314e-01
17; false; 3.8492992607914422e-01
34; false; 2.9093410816150689e-01
14; false; 1.5575395183890223e-01
23; false; 1.4004828748305029e-01
9; true; 9.3741389718636914e-01
29; true; 9.3360668860935181e-01
32; true; 9.2452310713592967e-01
26; true; 8.8368803295815779e-01
30; true; 8.0266857324260243e-01
7; true; 6.9334901823859396e-01
31; true; 6.7416314645497466e-01
20; true; 6.2264135513783592e-01
15; true; 5.0797391303725314e-01
16; true; 4.6385210114130870e-01
12; true; 4.1882175187814563e-01
11; true; 3.6286845226982550e-01
10; true; 3.6084402598645338e-01
35; true; 3.3268441455391151e-01
19; true; 3.0318395293005862e-01
22; true; 2.7949254124386463e-01
8; true; 2.5690210536291458e-01
24; true; 2.1802353766624993e-01
27; true; 1.4498749477242059e-01
33; true; 1.3793889888406113e-01
18; true; 1.2447664614277378e-01
21; true; 3.2205721229195079e-02
13; true; 1.1440457748453328e-02
# FractureId; NumTraces
2; 6
# TraceId; Tips; Lenght
36; true; 6.9672839998550384e-01
0; true; 6.7471443493720984e-01
38; true; 5.2300954394792065e-01
39; true; 4.6934874617055472e-01
40; true; 3.7954758490435381e-01
37; true; 1.7440624831934895e-01
# FractureId; NumTraces
3; 29
# TraceId; Tips; Lenght
66; false; 6.5944790181641189e-01
64; false; 6.3129751615244656e-01
53; false; 6.3045861598887976e-01
45; false; 5.7390811464565517e-01
48; false; 3.2597142212739449e-01
59; false; 2.4769903947436131e-01
44; false; 1.8996706192210169e-01
41; false; 1.7285713851104545e-01
7; true; 6.9334901823859396e-01
52; true; 6.4841762967191330e-01
57; true; 6.4832288190895959e-01
65; true; 6.2336405286413066e-01
58; true; 5.9895445080443532e-01
62; true; 5.7553208173634185e-01
42; true; 5.3982200587684570e-01
43; true; 5.0269084482302506e-01
67; true; 4.8786620638736861e-01
50; true; 3.6637188742059479e-01
60; true; 3.5306434734383685e-01
47; true; 3.1618758581756451e-01
56; true; 3.1062652326103468e-01
54; true; 3.0678991271705064e-01
63; true; 2.9816793324690594e-01
61; true; 2.8873677541999332e-01
51; true; 2.8604972919225702e-01
46; true; 2.1108417996010392e-01
49; true; 2.0628574193534777e-01
55; true; 1.1323699097574402e-01
68; true; 2.5581278438587086e-02
# FractureId; NumTraces
4; 23
# TraceId; Tips; Lenght
81; false; 8.7741980933355079e-01
8; false; 2.5690210536291458e-01
70; false; 5.1344459412478803e-02
86; true; 8.9560207437027983e-01
89; true; 7.0160779672323115e-01
82; true; 6.5083394501698932e-01
80; true; 6.3069832728828179e-01
87; true; 6.2687452207338434e-01
90; true; 5.8102259934463374e-01
88; true; 5.2789646453839512e-01
73; true; 5.2753809088190029e-01
75; true; 5.2284873226797279e-01
71; true; 4.9334759254711796e-01
74; true; 4.5977394119010501e-01
83; true; 4.2156776278981517e-01
85; true; 4.0879329399964287e-01
69; true; 3.6951510369423823e-01
84; true; 2.9325172090586382e-01
72; true; 2.0730281162183350e-01
77; true; 1.7500582881682702e-01
76; true; 1.4828813920453862e-01
78; true; 1.4229570102831168e-01
79; true; 6.0080722747593199e-02
# FractureId; NumTraces
5; 19
# TraceId; Tips; Lenght
93; false; 1.4546681590113203e-01
9; true; 9.3741389718636914e-01
100; true; 8.0011000011290978e-01
99; true; 7.6128311330849008e-01
103; true; 5.4193063526718188e-01
102; true; 4.5828326496382826e-01
104; true; 4.5793878923464454e-01
91; true; 4.1816157727458647e-01
69; true; 3.6951510369423823e-01
101; true; 3.4256644263550540e-01
96; true; 3.1802728350911974e-01
95; true; 3.1592384318204891e-01
105; true; 2.3886239058765699e-01
107; true; 2.2390863664954222e-01
92; true; 1.8037308236993049e-01
94; true; 1.5014470862621762e-01
106; true; 1.2220046815910014e-01
98; true; 1.0041749859015446e-01
97; true; 6.7464180324003628e-02
# FractureId; NumTraces
6; 7
# TraceId; Tips; Lenght
36; true; 6.9672839998550384e-01
1; true; 4.2680143969791628e-01
112; true; 1.9596735547721963e-01
109; true; 1.5242556599522358e-01
110; true; 1.4973175970221270e-01
111; true; 3.7749700950232827e-02
108; true; 8.1023930923595569e-03
# FractureId; NumTraces
7; 24
# TraceId; Tips; Lenght
117; false; 8.6276525116766178e-01
124; false; 7.3599990753973865e-01
121; false; 7.1387476419108042e-01
129; false; 5.0797228821189988e-01
120; true; 9.9493753841209842e-01
132; true; 7.9741057504480051e-01
123; true; 5.3336313639516475e-01
130; true; 5.2989735850812236e-01
128; true; 5.2803578637605553e-01
113; true; 5.2086105275162542e-01
131; true; 4.4791420058171477e-01
114; true; 4.1238289690281066e-01
10; true; 3.6084402598645338e-01
119; true; 3.3904431391603079e-01
118; true; 3.0595373515579261e-01
122; true; 2.5846507698565874e-01
127; true; 2.1755214765727432e-01
134; true; 1.8857250202010525e-01
41; true; 1.7285713851104545e-01
115; true; 1.2603545620209705e-01
126; true; 1.1369984160350630e-01
133; true; 1.0716343122549365e-01
116; true; 4.2249225726658839e-02
125; true; 9.4905881960354269e-03
# FractureId; NumTraces
8; 9
# TraceId; Tips; Lenght
140; false; 1.0749675506845333e-01
135; true; 6.0759601814421060e-01
139; true; 3.5094448774549097e-01
138; true; 3.3767888439838573e-01
136; true; 3.2461084958832093e-01
137; true; 2.5879726107968909e-01
142; true; 1.6236851154716475e-01
2; true; 1.4605310396686302e-01
141; true; 7.8843755929514370e-02
# FractureId; NumTraces
9; 22
# TraceId; Tips; Lenght
151; false; 7.1535205763484000e-01
144; false; 4.8298143698395540e-01
149; false; 3.9088120433452161e-01
146; false; 2.2948873112094251e-01
156; false; 1.2859362082504786e-01
158; true; 5.7681392653823649e-01
148; true; 5.4824912211249843e-01
42; true; 5.3982200587684570e-01
155; true; 5.3605405198337919e-01
113; true; 5.2086105275162542e-01
152; true; 5.1061979220506282e-01
153; true; 4.7522431936079185e-01
160; true; 3.7755496131912825e-01
11; true; 3.6286845226982550e-01
159; true; 3.4926060408786791e-01
150; true; 3.2472319566450419e-01
147; true; 3.2448070218554603e-01
143; true; 2.6469561061149360e-01
154; true; 2.1543647821038062e-01
157; true; 1.7965686602168163e-01
145; true; 8.6767193239245505e-02
70; true; 5.1344459412478803e-02
# FractureId; NumTraces
10; 28
# TraceId; Tips; Lenght
162; false; 1.1059679206308382e+00
183; false; 9.9849660171934951e-01
180; false; 5.6938502417703563e-01
178; false; 3.3129266381255856e-01
179; false; 6.1036514153673116e-02
166; true; 9.1180787712735489e-01
165; true; 8.9344226089632450e-01
169; true; 8.8777586775709416e-01
173; true; 8.0899334561787073e-01
171; true; 7.6690482068332644e-01
161; true; 7.0615194598080222e-01
184; true; 6.9434509606636274e-01
175; true; 6.5463051593251875e-01
170; true; 6.0907503004802832e-01
43; true; 5.0269084482302506e-01
71; true; 4.9334759254711796e-01
164; true; 4.6053016527194862e-01
182; true; 4.2422191302321982e-01
12; true; 4.1882175187814563e-01
91; true; 4.1816157727458647e-01
167; true; 4.1798765587969683e-01
176; true; 3.9830064002733412e-01
174; true; 3.7856466366688657e-01
163; true; 3.7499341735129926e-01
181; true; 2.2143426630877761e-01
168; true; 1.8829959712507513e-01
177; true; 4.9589421373269771e-02
172; true; 8.7965946751516373e-03
# FractureId; NumTraces
11; 22
# TraceId; Tips; Lenght
198; false; 1.2188468145802749e+00
194; false; 5.0627045363944057e-01
114; false; 4.1238289690281066e-01
3; false; 3.9439852449745566e-01
187; false; 1.0296992401265118e-01
189; true; 1.0648771738260840e+00
186; true; 8.2776979494388414e-01
200; true; 6.1234732468180042e-01
185; true; 6.0693139225329507e-01
190; true; 6.0349437559238284e-01
202; true; 5.4757687624136009e-01
193; true; 4.5521825605442690e-01
197; true; 2.9531317310365945e-01
192; true; 2.8851619876241547e-01
143; true; 2.6469561061149360e-01
196; true; 2.4469509490708494e-01
199; true; 1.2781400211742827e-01
188; true; 1.0477358321673701e-01
191; true; 3.5421316955079538e-02
195; true; 2.9980431022665205e-02
201; true; 1.8188533229439842e-02
13; true; 1.1440457748453328e-02
# FractureId; NumTraces
12; 15
# TraceId; Tips; Lenght
203; false; 5.8495333437547459e-01
206; false; 4.3459483311429098e-01
211; true; 1.0614251912418557e+00
135; true; 6.0759601814421060e-01
185; true; 6.0693139225329507e-01
204; true; 4.9881610400579957e-01
213; true; 3.6687504891024803e-01
208; true; 3.6482203614073888e-01
212; true; 3.3489708988538913e-01
207; true; 3.1474238645272740e-01
205; true; 2.8181181388440435e-01
210; true; 1.5758016341451672e-01
115; true; 1.2603545620209705e-01
108; true; 8.1023930923595569e-03
209; true; 6.5340490992788144e-03
# FractureId; NumTraces
13; 20
# TraceId; Tips; Lenght
220; false; 7.5816410239208898e-01
161; false; 7.0615194598080222e-01
229; false; 5.7302825171340632e-01
216; false; 4.8928048764886578e-01
218; false; 9.3868185844017890e-02
